[enu default]

//Actual unique values
SECRETMESSAGE = "";
MNU_OPTIONS = "Configuration";
MNU_QUITGAME = "Exit";
MNU_CHOOSESKILL = "Select a difficulty level";
MNU_EPISODE = "Select a start point";
AM_MONSTERS = "Enemies:";
AM_SECRETS = "Hidden Areas:";

//Most of these are for capitalization and nothing else...
PRESSKEY = "Press a key.";
PRESSYN = "Press Y or N.";
QUITMSG = "Are you sure you want to quit?";
LOADNET = "You can't load while in a net game!\n\nPress a key.";
QLOADNET = "You can't quickload during a netgame!\n\nPress a key.";
QSAVESPOT = "You haven't picked a quicksave slot yet!\n\nPress a key.";
SAVEDEAD = "You can't save if you aren't playing!\n\nPress a key.";
QSPROMPT = "Quicksave over your game named\n\n'%s'?\n\nPress Y or N.";
QLPROMPT = "Do you want to quickload the game named\n\n'%s'?\n\nPress Y or N.";
NEWGAME = "You can't start a new game\nwhile in a network game.\n\nPress a key.";
GGSAVED = "Game saved.";
MNU_NEWGAME = "New Game";
MNU_LOADGAME = "Load Game";
MNU_SAVEGAME = "Save Game";
OPTMNU_TITLE = "Configuration";
OPTMNU_MOUSE = "Mouse Options";
OPTMNU_JOYSTICK = "Joystick Options";
CNTRLMNU_TITLE = "Customize Controls";
MOUSEMNU_TITLE  = "Mouse Options";
JOYMNU_CONFIG = "Configure Controller";
JOYMNU_OPTIONS = "Controller Options";
MNU_PLAYERSETUP = "Player Setup";
DSPLYMNU_TITLE  = "Display Options";
AUTOMAPMNU_TITLE = "Automap Options";
MAPCNTRLMNU_TITLE = "Customize Map Controls";
MAPCOLORMNU_TITLE = "Cutomize Map Colors";
MSGMNU_TITLE = "Message Options";
SCRBRDMNU_TITLE = "Scoreboard Options";
GMPLYMNU_TITLE = "Gameplay Options";
CMPTMNU_TITLE = "Compatibility Options";
SNDMNU_TITLE = "Sound Options";
FMODMNU_TITLE = "FMOD Options";
OPENALMNU_TITLE = "OpenAL Options";
ADVSNDMNU_TITLE = "Advanced Sound Options";
MODMNU_TITLE = "Module Replayer Options";
VIDMNU_TITLE = "Video Mode";
NETMNU_TITLE = "Network Options";
MNU_COLORPICKER = "Select Color";

/*
SK_1 = "I wear a red shirt";
SK_2 = "Just tell me what to do, Sir";
SK_3 = "This isn't my first landing party";
SK_4 = "I give the orders around here";
SK_5 = "I've been beyond the galactic barrier";
*/

SK_1 = "Red Shirt";
SK_2 = "Officer";
SK_3 = "Senior Staff";
SK_4 = "Captain";
SK_5 = "Admiral";

BARRIER = "Are you sure?";

LOCKED = "Access Denied";
LOCK = "You can't go there, yet.";
LOCK_2 = "Level 2 Access Required";
LOCK_2_G = "Level 2 Access Granted";
LOCK_3 = "Level 3 Access Required";
LOCK_3_G = "Level 3 Access Granted";
LOCK_4 = "Level 4 Access Required";
LOCK_4_G = "Level 4 Access Granted";

//Pickups and items
CHARGE = "A partial charge for a Type-II Phaser";
CHARGES = "A pack of charges for a Type-II Phaser";
RIFLECHARGE = "A partial charge for a Phaser Rifle";
RIFLECHARGE = "A pack of charges for a Phaser Rifle";
PHOTONGRENADE = "A Photon Grenade";
PHOTONGRENADES = "A pack of Photon Grenades";
DISRUPTORCHARGE = "A partial charge for a Klingon Disruptor";
DISRUPTORCHARGES = "A pack of charges for a Klingon Disruptor";
PHASER1 = "Type I Phaser";
PHASER2 = "Type II Phaser";
PHASERRIFLE = "Phaser Rifle";
DISRUPTOR = "Klingon Disruptor";
PHOTONGRENADELAUNCHER = "Photon Grenade Launcher";
TRICORDER = "Tricorder";
PHOTONTORPEDO = "Photon Torpedo Targeting System";

// Map-specific thing tags
//
//   Automatically applied to anything that inherits from Decoration or TOSEnemy
//
//   Format:
//		ThingClass_MapName_ThingTID = "New Tag Information";
//
//   Example: A soldier on map 12 with a TID of 37 would follow this convention:
//		ZombieMan_map12_37 = "Zombie with red key";
//		
TOSComputer2C_SHIP_1 = "Weapons Locker Access";
TOSSecurityConsole_SHIP_4 = "Hangar Deck Launch Controls";
TOSSecurityConsole_SHIP_5 = "Hangar Deck Lift Controls";
TOSEngineeringConsole_SHIP_3 = "Hangar Deck Lift Controls";
TOSComputerC_SHIP_1 = "Security Access Control";
TOSTransporterConsole_SHIP_2 = "Transporter Room 1 Console";
TOSTransporterConsole_SHIP_3 = "Transporter Room 2 Console";
TOSTransporterConsole_SHIP_4 = "Emergency Transporter 1 Console";
TOSTransporterConsole_SHIP_5 = "Emergency Transporter 2 Console";
TOSTransporterConsole_SHIP_6 = "Emergency Transporter 3 Console";
TOSPlantonButton_SHIP_0 = "Partition Wall Door Control";
TOSPlantonTu_Btns_MSN01_0 = "Turbolift Controls";
TOSBridgeConsoleP2_MSN01_3 = "Communications";
TOSBridgeConsoleP1_MSN01_4 = "Science Station";
TOSBridgeConsoleP2_MSN01_5 = "Science Station 2";
TOSBridgeConsoleP1_MSN01_6 = "Damage Control";
TOSBridgeConsoleP3_MSN01_7 = "Towing Operations";
TOSBridgeConsoleP3_MSN01_8 = "Weapon and Defense";
TOSBridgeConsoleP2_MSN01_9 = "Environmental Control";
TOSBridgeConsoleP1_MSN01_10 = "Engineering";
TOSWallThingPanel_MSN01_0 = "Control Panel";

//Cutscene 'Scripting'
Cutscene_SHIP_0_0 = "22~~~~HidePlayer~35~";
Cutscene_SHIP_0_1 = "22~~~~LoadCue~35~";
Cutscene_SHIP_0_2 = "22~Captain's Log, Stardate 6032.1~As part of a new initiative, we are taking aboard Lieutenant Jason Nesmith as our new Chief of Security.\nHis charge is to reduce the recent alarming increase in death rate among security officers assigned across Starfleet.~T~~~";
Cutscene_SHIP_0_3 = "22~~~~QuickFade~~";
Cutscene_SHIP_0_4 = "12~~~~~70~";
Cutscene_SHIP_0_5 = "12~Chekov~Stand by to recover shuttlecraft.~T~~~";
Cutscene_SHIP_0_6 = "12~~Depressurizing.~L~~~";
Cutscene_SHIP_0_7 = "12~~Recovering Shuttlecraft.~L~~~";
Cutscene_SHIP_0_8 = "12~~~~QuickFade~~";
Cutscene_SHIP_0_9 = "553~~~~ShuttleEntry~~";
Cutscene_SHIP_0_10 = "553~~Hangar deck pressurizing.~T~~35~";
Cutscene_SHIP_0_11 = "553~~~~QuickFade~~";
Cutscene_SHIP_0_12 = "7~~~~Frame7~35~";
Cutscene_SHIP_0_13 = "7~Kirk~It's not ideal, but we've been requesting specialized training for our security personnel for years...~L~~~";
Cutscene_SHIP_0_14 = "7~Kirk~Our standard programs never anticipated some of the more... unique... situations that we've encountered.~L~~~";
Cutscene_SHIP_0_15 = "7~Sulu~Oh, I certainly agree, Sir.\nI'm looking forward to the skills he brings. His records are impressive.~R~~~";
Cutscene_SHIP_0_16 = "7~~~~ShowPlayer~35~";
Cutscene_SHIP_0_17 = "7~Kirk~Let's go meet him!~L~~35~";
Cutscene_SHIP_0_18 = "7~~~~OpenDoorHold~35~";
Cutscene_SHIP_0_19 = "7~~~~EnterBay~70~";
Cutscene_SHIP_0_20 = "7~~~~SetupKirkSulu~~";


Cutscene_SHIP_1_0 = "13~~~~~35~";
Cutscene_SHIP_1_1 = "13~~Permission to come aboard, Sir?~~~~";
Cutscene_SHIP_1_2 = "13~Kirk~Granted, Lieutenant.\nWelcome to the Enterprise~L~~~";
Cutscene_SHIP_1_3 = "13~~Thank you, Sir!~~~~";
Cutscene_SHIP_1_4 = "13~Kirk~My senior helmsman and nominal head of ship-board security, Lieutenant Hikaru Sulu.~L~~~";
Cutscene_SHIP_1_5 = "13~~A pleasure.~~~~";
Cutscene_SHIP_1_6 = "13~Sulu~Likewise.~R~~~";
Cutscene_SHIP_1_7 = "13~~~~Whistle~~";
Cutscene_SHIP_1_8 = "13~Spock~Bridge to Captain Kirk.~T~~~";
Cutscene_SHIP_1_9 = "13~Kirk~Gentlemen, if you'll excuse me...~L~~~";
Cutscene_SHIP_1_10 = "13~~~~KirkToIntercom~~";
Cutscene_SHIP_1_11 = "13~Kirk~Kirk here.~L~~~";
Cutscene_SHIP_1_12 = "13~Spock~Captain, we've recieved a garbled distress call from a neighboring star system.  The call letters indicate a Ptolemy-class transport, the USS Anaxagoras - but according to Starfleet records, that ship was lost with all hands 12 years ago.~T~~~";
Cutscene_SHIP_1_13 = "13~Kirk~Can sensor scans confirm the ship's identification?~L~~~";
